,id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
56956,73600,0.0,2012-10-12,Dwsp,0,DWSP,33.02366176,-3.73184127,Kwa Kwimba Ngasa,0,Lake Victoria,Imalanguzu,Shinyanga,17,3,Shinyanga Rural,Ilola,0,True,GeoData Consultants Ltd,WUG,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
10549,4192,0.0,2012-10-12,World Bank,0,WEDECO,33.39982138,-4.238126,Kakola,0,Internal,Busalu,Tabora,14,2,Igunga,Ziba,0,True,GeoData Consultants Ltd,Water authority,World Bank,True,0,afridev,afridev,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional
11577,58321,0.0,2012-10-12,Rwssp,0,DWE,32.3303273,-4.05769141,Umoja,0,Lake Tanganyika,Busulwanguku,Shinyanga,17,3,Kahama,Kisuke,0,,GeoData Consultants Ltd,,,True,0,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non functional
263,28110,0.0,2012-10-12,Tasaf,0,TASAF,33.0849318,-3.75139073,Kwa Mange Idege,0,Lake Victoria,Uborwa,Shinyanga,17,3,Shinyanga Rural,Imesela,0,True,GeoData Consultants Ltd,WUG,,True,0,other,other,other,wug,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,other,other,non functional
57816,41713,0.0,2012-10-12,Resolute Mining,0,Consulting Engineer,33.20423606,-4.01772041,Bujinja B,0,Internal,Bujinja,Tabora,14,1,Nzega,Lusu,0,True,GeoData Consultants Ltd,VWC,,False,0,afridev,afridev,handpump,vwc,user-group,pay when scheme fails,on failure,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
3958,10557,0.0,2012-10-12,Rwssp,0,RWSSP,33.02860668,-3.72464625,Shuleni,0,Lake Victoria,Sangilwa,Shinyanga,17,3,Shinyanga Rural,Ilola,0,False,GeoData Consultants Ltd,Parastatal,,True,0,nira/tanira,nira/tanira,handpump,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,hand pump,hand pump,non functional
49983,15931,0.0,2012-10-12,Rwssp,0,DWE,32.35723444,-4.07045958,Mwamapuli,0,Lake Tanganyika,Ngokolo B,Shinyanga,17,3,Kahama,Kisuke,0,,GeoData Consultants Ltd,,,True,0,other,other,other,wug,user-group,unknown,unknown,milky,milky,enough,enough,shallow well,shallow well,groundwater,other,other,functional
32639,13301,0.0,2012-10-12,Rwssp,0,DWE,32.35538978,-4.07527681,Madoshi,0,Lake Tanganyika,Kabila B,Shinyanga,17,3,Kahama,Kisuke,0,,GeoData Consultants Ltd,,,True,0,other,other,other,wug,user-group,unknown,unknown,milky,milky,enough,enough,shallow well,shallow well,groundwater,other,other,functional
10573,32604,0.0,2012-10-12,Tltc,0,TLTC,32.50734358,-4.80081762,Bonzale Mathias,0,Lake Tanganyika,Kasega,Tabora,14,3,Uyui,Ibiri,0,,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
48343,13030,0.0,2012-10-12,Rural Water Supply And Sanitat,0,DWE,31.75965532,-3.2731392999999995,Maji Maji,0,Lake Tanganyika,Bulega A,Shinyanga,17,5,Bukombe,Ushirombo,0,True,GeoData Consultants Ltd,WUG,,True,0,other,other,other,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non functional
50850,53807,0.0,2012-10-12,Oxfam,0,OXFAM,33.06602141,-3.75988224,Ilola Shuleni,0,Lake Victoria,Ndagwa,Shinyanga,17,3,Shinyanga Rural,Ilola,0,True,GeoData Consultants Ltd,Parastatal,,True,0,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,non functional
30694,13041,0.0,2012-10-12,Rwssp,0,DWE,32.35038231,-4.06892628,Kwa Elias Mtina,0,Lake Tanganyika,Ngokolo C,Shinyanga,17,3,Kahama,Kisuke,0,,GeoData Consultants Ltd,,,True,0,other,other,other,wug,user-group,unknown,unknown,milky,milky,enough,enough,shallow well,shallow well,groundwater,other,other,functional
