,id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
29503,21085,0.0,2011-03-18,Water,0,Commu,36.62890315,-5.93731647,Ofisini,0,Wami / Ruvu,,Dodoma,1,3,Kongwa,Njoge,0,True,GeoData Consultants Ltd,VWC,Ngom,False,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional
8270,22022,0.0,2011-03-18,Government Of Tanzania,0,Gover,36.40408082,-6.65722709,Lamboni,0,Wami / Ruvu,Masena A,Dodoma,1,1,Mpwapwa,Kibakwe,0,True,GeoData Consultants Ltd,VWC,Iyen,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,cattle trough,cattle trough,functional
14261,12895,0.0,2011-03-18,Ir,512,Ir,36.90054188,-7.05180603,Mnadani,0,Wami / Ruvu,Mkanda B,Morogoro,5,1,Kilosa,Ulaya,280,True,GeoData Consultants Ltd,,,True,1982,other,other,other,unknown,unknown,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,non functional
55088,5341,3000.0,2011-03-18,Danida,1979,Wanan,34.76049056,-9.71708098,none,0,Lake Nyasa,Manzese,Iringa,11,5,Ludewa,Madilu,132,True,GeoData Consultants Ltd,VWC,DANIDA,False,1994,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
14266,26648,0.0,2011-03-18,Songas,37,SONGAS,39.14324058,-7.49947561,Njopeka Kati,0,Rufiji,Njopeka Kati,Pwani,6,4,Mkuranga,Lukanga,500,True,GeoData Consultants Ltd,VWC,,False,2008,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,non functional
27060,17117,0.0,2011-03-18,Water,0,Commu,36.62687464,-5.93788122,Msikitini,0,Wami / Ruvu,,Dodoma,1,3,Kongwa,Njoge,0,True,GeoData Consultants Ltd,VWC,Ngom,False,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional
27836,12964,200.0,2011-03-18,Solidame,255,SOLIDAME,36.69901091,-8.12335286,Kwamapei,0,Rufiji,Katindiuka A,Morogoro,5,3,Kilombero,Ifakara,450,True,GeoData Consultants Ltd,,,True,2005,other,other,other,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
27826,16446,0.0,2011-03-18,Government Of Tanzania,1176,DWE,38.42104561,-4.6151431,Mazashai Primary School,0,Pangani,Mzashai,Tanga,4,1,Lushoto,Mlola,1,True,GeoData Consultants Ltd,VWC,,True,1974,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
11500,71983,0.0,2011-03-18,Songas,16,SONGAS,39.14758821,-7.49013165,Shule,0,Rufiji,Njopeka Kati,Pwani,6,4,Mkuranga,Lukanga,600,True,GeoData Consultants Ltd,VWC,,False,2007,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,non functional
14342,16019,0.0,2011-03-18,Swiss If,215,Swiss If,36.69308665,-8.150921799999999,School,0,Rufiji,Kihungwile,Morogoro,5,3,Kilombero,Ifakara,712,True,GeoData Consultants Ltd,,,True,2011,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,milky,milky,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
36148,4744,500.0,2011-03-18,Concern,1957,Concern,34.57025801,-9.26820765,Noel Mgoe,0,Rufiji,Mji Mwema,Iringa,11,4,Njombe,Igosi,20,True,GeoData Consultants Ltd,VWC,Idunda,True,2009,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
44889,53584,1000.0,2011-03-18,Government Of Tanzania,2128,Commu,33.94963849,-8.97623356,none,0,Rufiji,Kyembela,Iringa,11,3,Makete,Matamba,0,False,GeoData Consultants Ltd,VWC,Mahanj,False,1974,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
27956,17488,0.0,2011-03-18,Rc,2076,RC,34.58459793,-9.30287273,Izack Ngulu,0,Rufiji,Uvangu,Iringa,11,4,Njombe,Igosi,17,True,GeoData Consultants Ltd,VWC,Samaria,True,2006,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
13949,48978,200.0,2011-03-18,Plan Int,210,DDCA,36.68744653,-8.15341674,Mianzini,0,Rufiji,Kihungwile,Morogoro,5,3,Kilombero,Ifakara,250,True,GeoData Consultants Ltd,,,True,2005,afridev,afridev,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
18727,26410,0.0,2011-03-18,Msabi,213,Msabi,36.69536631,-8.150824499999999,School,0,Rufiji,Kihungwile,Morogoro,5,3,Kilombero,Ifakara,1150,True,GeoData Consultants Ltd,,,True,2009,other - rope pump,rope pump,rope pump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
40446,51450,0.0,2011-03-18,Is,573,Is,36.92487342,-7.21466028,Bomba La Suni,0,Wami / Ruvu,Kitunduwete,Morogoro,5,1,Kilosa,Ulaya,180,True,GeoData Consultants Ltd,VWC,,True,2010,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
13652,24233,0.0,2011-03-18,World Bank,0,Ardhi water well,37.19317928,-5.98780072,Kwa Gwede,0,Wami / Ruvu,Madukani B,Tanga,4,7,Kilindi,Kikunde,1,True,GeoData Consultants Ltd,VWC,,False,2010,other,other,other,vwc,user-group,never pay,never pay,unknown,unknown,unknown,unknown,machine dbh,borehole,groundwater,other,other,non functional
13660,23206,500.0,2011-03-18,Rc,1983,RC,34.56392646,-9.25920874,Bahati Mwaloko,0,Rufiji,Matalawa,Iringa,11,4,Njombe,Igosi,36,True,GeoData Consultants Ltd,VWC,Idunda,True,2009,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
54842,67114,3000.0,2011-03-18,Danida,1994,DANID,34.75767042,-9.71865062,none,0,Lake Nyasa,Manzese,Iringa,11,5,Ludewa,Madilu,185,True,GeoData Consultants Ltd,VWC,DANIDA,False,1994,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
49165,74239,1000.0,2011-03-18,Government Of Tanzania,2140,Commu,33.92687092,-8.96068686,none,0,Rufiji,Chamani,Iringa,11,3,Makete,Matamba,0,False,GeoData Consultants Ltd,VWC,Kinyik,False,1974,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
40409,53326,30.0,2011-03-18,Village Council,380,Handeni Trunk Main(,38.29162416,-5.78616375,Kwa Zamini Juma,0,Pangani,Matondoro,Tanga,4,6,Handeni,Mkata,200,True,GeoData Consultants Ltd,VWC,Handeni Trunk Main(H,True,0,submersible,submersible,submersible,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
18702,6686,0.0,2011-03-18,Dhv,253,RWE,36.70252174,-8.13332855,Kwamasaranga,0,Rufiji,Katindiuka C,Morogoro,5,3,Kilombero,Ifakara,200,True,GeoData Consultants Ltd,,,True,1997,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
13723,5809,0.0,2011-03-18,Bsf,0,BSF,35.91364253,-5.46492727,Ofisini,0,Internal,Majengo,Dodoma,1,4,Chamwino,Haneti,0,True,GeoData Consultants Ltd,VWC,Kwah,True,0,mono,mono,motorpump,vwc,user-group,unknown,unknown,soft,good,dry,dry,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non functional
