,id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
27758,16227,0.0,2013-01-28,District Council,415,District water department,39.00287549,-10.25190497,Shiwedini,0,Ruvuma / Southern Coast,Matopeni,Lindi,80,53,Ruangwa,Mnacho,220,,GeoData Consultants Ltd,,Ng'au,True,1974,gravity,gravity,gravity,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
58160,44707,0.0,2013-01-28,Padep,1723,PADEP,35.57737808,-3.82761191,Kwa Nessi Conjesta,0,Internal,Ayasloro,Manyara,21,3,Mbulu,Gehandu,361,True,GeoData Consultants Ltd,VWC,,True,2010,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
17378,10950,0.0,2013-01-28,Gen,122,GEN,39.48835606,-9.8299106,Kwa Mzee Mwishaha,0,Ruvuma / Southern Coast,Cheleweni,Lindi,80,23,Lindi Rural,Nangaru,347,False,GeoData Consultants Ltd,VWC,GEN Borehole Scheme,False,2010,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional
22210,63462,50.0,2013-01-28,Government Of Tanzania,309,District Water Department,38.76997158,-10.13118124,Mtaluni,0,Ruvuma / Southern Coast,Nagaga,Lindi,8,3,Nachingwea,Mkoka,520,True,GeoData Consultants Ltd,VWC,,False,0,india mark ii,india mark ii,handpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,non functional
10618,995,0.0,2013-01-28,Dasip,0,Victoria,32.45394363,-3.74514288,Kwa Shileka,0,Lake Tanganyika,Katendele,Shinyanga,17,3,Kahama,Ngongwa,0,,GeoData Consultants Ltd,,,False,0,other,other,other,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,other,other,functional
2747,29258,0.0,2013-01-28,Wateraid,1547,SEMA,34.88114596,-4.27221556,Mifugo,0,Internal,Shule,Singida,13,1,Iramba,Mwanga,258,True,GeoData Consultants Ltd,VWC,,True,1999,afridev,afridev,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
8793,11336,0.0,2013-01-28,Fini Water,302,Fini Water,38.63213635,-10.20147639,Njumbwinga,0,Ruvuma / Southern Coast,Chilumbilu,Lindi,8,3,Nachingwea,Mnero Ngongo,244,True,GeoData Consultants Ltd,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
7799,6617,0.0,2013-01-28,,1597,,34.88117343,-4.97262203,Mathew,0,Internal,Mungaa,Singida,13,2,Singida Rural,Munga'a,1,True,GeoData Consultants Ltd,VWC,M,,1970,mono,mono,motorpump,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
58175,36159,0.0,2013-01-28,Government Of Tanzania,1813,Distri,30.32397057,-6.20041385,Kituo Cha Afya,0,Lake Tanganyika,Namba 3,Rukwa,15,1,Mpanda,Mwese,450,True,GeoData Consultants Ltd,Parastatal,Mwese water supply,True,1995,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
14715,27165,0.0,2013-01-28,Fin Water,324,FIN WATER,38.47120789,-11.09606402,Demuni,0,Ruvuma / Southern Coast,Ziwani 1,Mtwara,90,63,Nanyumbu,Nanyumbu,123,True,GeoData Consultants Ltd,,,True,1986,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
10496,27195,600.0,2013-01-28,Isf,805,DWE,29.74002413,-4.89444988,Upendo,0,Lake Tanganyika,Miembeni,Kigoma,16,3,Kigoma Rural,Simbo,170,True,GeoData Consultants Ltd,WUG,Mkongoro Two,True,2009,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional
51158,4834,0.0,2013-01-28,Norad,1893,Norad,31.612384,-8.01644531,Kwa Siwanda,0,Lake Tanganyika,Katete,Rukwa,15,4,Sumbawanga Urban,Milanzi,800,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa milan,True,1984,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
33126,20583,0.0,2013-01-28,Government Of Tanzania,1150,Distri,30.71100192,-6.26542514,Shuleni,0,Lake Rukwa,Mpembe Senta,Rukwa,15,1,Mpanda,Katuma,450,True,GeoData Consultants Ltd,VWC,,True,2008,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,non functional
25661,62314,0.0,2013-01-28,Mdrdp,1769,MDRDP,35.51918239,-3.83688704,Kwa Lawei Surumbu,0,Internal,Gidbuger,Manyara,21,3,Mbulu,Sanu,246,True,GeoData Consultants Ltd,VWC,,True,1998,other - swn 81,other handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,functional
28789,19287,0.0,2013-01-28,Fw,323,FW,39.02113355,-10.80455279,Mangongoli,0,Ruvuma / Southern Coast,Dodoma,Mtwara,90,33,Masasi,Nanjota,1,True,GeoData Consultants Ltd,VWC,,True,1980,other,other,other,vwc,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
40947,34315,0.0,2013-01-28,Unknown,1744,Unknown,35.53950614,-3.83210817,Kwa John Boai,0,Internal,Ayalabe,Manyara,21,3,Mbulu,Bargish,135,True,GeoData Consultants Ltd,VWC,,True,1994,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,functional
9877,61353,0.0,2013-01-28,Fw,364,FW,38.96841075,-10.78049912,Manywele,0,Ruvuma / Southern Coast,Ofisini,Mtwara,90,33,Masasi,Nanjota,1,True,GeoData Consultants Ltd,,,False,1975,other,other,other,vwc,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
20577,39191,0.0,2013-01-28,Wateraid,1593,SEMA,34.89872108,-4.25917046,Shuleni,0,Internal,Kidigida,Singida,13,1,Iramba,Mwanga,678,True,GeoData Consultants Ltd,Parastatal,,True,1999,afridev,afridev,handpump,parastatal,parastatal,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,non functional
36444,8105,0.0,2013-01-28,Ministry Of Water,883,Idara ya maji,35.21765356,-6.34887214,Kwa Joseph Kawindi,0,Internal,Mchetwe,Singida,13,3,Manyoni,Sanza,250,True,GeoData Consultants Ltd,VWC,Sanza water supply,False,1972,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non functional
48185,55013,3000.0,2013-01-28,Government Of Tanzania,1005,DWE,29.92844068,-4.80331518,Kwa Nyamurundwa,0,Lake Tanganyika,Kati,Kigoma,16,2,Kigoma Rural,Mahembe,250,True,GeoData Consultants Ltd,Water authority,Kizingu,True,1976,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
53969,55432,0.0,2013-01-28,Tasaf,358,District water department,38.98535673,-10.28283713,Nachikalala,0,Ruvuma / Southern Coast,Miembe Saba,Lindi,80,53,Ruangwa,Mnacho,240,,GeoData Consultants Ltd,,,False,2010,nira/tanira,nira/tanira,handpump,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
34228,13304,0.0,2013-01-28,Dasip,0,Victoria,32.42365709,-3.83316717,Ishololo,0,Lake Tanganyika,Budati,Shinyanga,17,3,Kahama,Ngongwa,0,,GeoData Consultants Ltd,,,False,0,nira/tanira,nira/tanira,handpump,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,hand pump,hand pump,functional
1999,66782,600.0,2013-01-28,Isf,800,DWE,29.73883172,-4.898918900000001,Utulivu,0,Lake Tanganyika,Miembeni,Kigoma,16,3,Kigoma Rural,Simbo,150,True,GeoData Consultants Ltd,WUG,Mkongoro Two,True,2009,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional
35458,70785,0.0,2013-01-28,Dwsp,0,DWE,0.0,-2e-08,Dodoma,0,Lake Victoria,Mwalushu A,Shinyanga,17,1,Bariadi,Nkoma,0,False,GeoData Consultants Ltd,WUG,,False,0,other,other,other,wug,user-group,never pay,never pay,unknown,unknown,dry,dry,other,other,unknown,other,other,non functional
2636,6236,10.0,2013-01-28,Finidagermantanzania Govt,461,Finwater,39.3872536,-10.83289632,Kwa Mzee Salim Said,0,Ruvuma / Southern Coast,Jangwani,Mtwara,90,33,Newala,Makukwe,1,True,GeoData Consultants Ltd,VWC,MWS,False,1988,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,non functional
24115,11139,500.0,2013-01-28,Rudep,1591,Distri,30.3792692,-6.18988282,Kwa Alonsi Wandema,0,Lake Tanganyika,Namba 8,Rukwa,15,1,Mpanda,Mwese,100,True,GeoData Consultants Ltd,VWC,,True,1995,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
56700,6265,3000.0,2013-01-28,Government Of Tanzania,1034,DWE,29.93429711,-4.8151645,Kwa Emanuel,0,Lake Tanganyika,Syosyo,Kigoma,16,2,Kigoma Rural,Mahembe,385,True,GeoData Consultants Ltd,Water authority,Kizingu,True,1976,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
46410,72544,50.0,2013-01-28,Ministry Of Water,1126,Idara ya maji,35.02733579,-6.42641597,Zahanati,0,Rufiji,Ikulu,Singida,13,3,Manyoni,Isseke,350,True,GeoData Consultants Ltd,VWC,Iseke water supply,False,1974,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,non functional
13870,44013,0.0,2013-01-28,Tassaf I,1394,TASSAF,30.72290391,-3.62331619,Biturana Dispensary,0,Lake Tanganyika,Biturana Shuleni,Kigoma,16,1,Kibondo,Kibondo Urban,400,True,GeoData Consultants Ltd,VWC,,True,2004,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,non functional
41653,29476,0.0,2013-01-28,,1583,,34.88524059,-4.97767755,Joshoni/Windmil,0,Internal,Mungaa,Singida,13,2,Singida Rural,Munga'a,1,True,GeoData Consultants Ltd,VWC,M,,1960,windmill,wind-powered,wind-powered,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,non functional
10528,10975,0.0,2013-01-28,,1614,,34.88541041,-4.97275317,Mungaa Primary,0,Internal,Mungaa,Singida,13,2,Singida Rural,Munga'a,726,True,GeoData Consultants Ltd,VWC,,,2000,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
