,id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
21506,46796,0.0,2013-02-25,Government Of Tanzania,1776,District council,37.53460367,-2.98214074,Shuleni,0,Internal,Motamburu,Kilimanjaro,3,1,Rombo,Motamburu Kitendani,1,True,GeoData Consultants Ltd,Company,,True,2006,gravity,gravity,gravity,company,commercial,pay monthly,monthly,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
10682,29338,0.0,2013-02-25,Government Of Tanzania,1426,DWE,37.42598369,-3.30231576,Kwa Kitange,0,Pangani,Mrimbo,Kilimanjaro,3,4,Moshi Rural,Kimochi,75,True,GeoData Consultants Ltd,VWC,Kimarare,True,1974,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
49863,7574,0.0,2013-02-25,,1087,,34.13291912,-4.73426765,Kisimani,0,Internal,Idodoma,Singida,13,2,Singida Rural,Mwaru,1,True,GeoData Consultants Ltd,VWC,,,2000,other,other,other,vwc,user-group,unknown,unknown,unknown,unknown,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
46122,63016,0.0,2013-02-25,Netherlands,0,DWE,34.03176088,-3.11448034,Mabambasi,0,Lake Victoria,Liwa,Shinyanga,17,2,Maswa,Ipililo,0,True,GeoData Consultants Ltd,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
46125,52815,25.0,2013-02-25,Lottery Club,683,World vision,37.46030219,-3.81788149,Shule Ya Msingi,0,Pangani,Shuleni,Manyara,21,4,Simanjiro,Ngorika,250,True,GeoData Consultants Ltd,VWC,Nyumba ya mungu pipe scheme,True,2009,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,dam,dam,surface,communal standpipe,communal standpipe,functional
26812,68148,50.0,2013-02-25,,1266,,34.27780796,-4.77750412,Machine Dbhe,0,Internal,Mahenge,Singida,13,2,Singida Rural,Mwaru,200,True,GeoData Consultants Ltd,VWC,,,1990,afridev,afridev,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional
10762,28463,450.0,2013-02-25,Germany Republi,1694,CES,37.19952665,-3.18061805,Kwa Asseli Kweka,0,Pangani,Iwala,Kilimanjaro,3,5,Hai,Machame Magharibi,125,True,GeoData Consultants Ltd,Water Board,Uroki-Bomang'ombe water sup,True,1995,gravity,gravity,gravity,water board,user-group,other,other,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional
17341,55974,12000.0,2013-02-25,Japan,1043,DWE,35.33289707,-9.88041114,Kwa Gedion,0,Lake Nyasa,Ifugwa,Ruvuma,10,2,Songea Rural,Mahanje,0,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa mahanje,True,2002,gravity,gravity,gravity,vwc,user-group,pay annually,annually,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional
17384,48618,10.0,2013-02-25,Community,1666,DMDD,35.48998703,-4.244361799999999,Kwa Valeri,0,Internal,Loto A,Manyara,21,1,Babati,Dareda,203,True,GeoData Consultants Ltd,Water Board,,True,2000,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
37826,11002,50.0,2013-02-25,World Bank,1351,World banks,37.1669925,-5.38901071,Kona,0,Pangani,Kona,Manyara,21,5,Kiteto,Kijungu,7530,True,GeoData Consultants Ltd,VWC,World banks,True,2009,other,other,other,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,other,other,functional needs repair
