,id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
2601,14428,0.0,2002-10-14,Undp,0,BESADA,33.6881086,-3.74057886,Shule,0,Internal,Mwawe Ja,Shinyanga,17,8,Kishapu,Ukenyenge,0,False,GeoData Consultants Ltd,Parastatal,,False,0,gravity,gravity,gravity,parastatal,parastatal,unknown,unknown,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,other,other,functional
27501,53086,500.0,2004-01-07,Kkkt,1611,Villagers,34.90056122,-8.87381318,Kwa Barnabasi Kilumile,0,Rufiji,Mlowa,Iringa,11,4,Njombe,Makambako,65,True,GeoData Consultants Ltd,VWC,,False,2009,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump,functional
42343,3358,0.0,2004-03-01,Fw,362,FW,38.60497914,-10.78702841,Marambo,0,Ruvuma / Southern Coast,Mijelejele,Mtwara,90,33,Masasi,Namajani,1,True,GeoData Consultants Ltd,VWC,,True,1980,other,other,other,vwc,user-group,unknown,unknown,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
23373,20534,50.0,2004-03-01,Tasaf And Lga,239,TASAFcitizen and LGA,39.27273566,-11.01899965,Juhudi,0,Ruvuma / Southern Coast,Mwanona,Mtwara,90,33,Newala,Luchingu,317,True,GeoData Consultants Ltd,VWC,Mwanona,False,2009,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional
33942,5971,0.0,2004-03-01,Amref,-27,AMREF,39.28310527,-7.42285183,Kwa Ndevu,0,Rufiji,Gundani,Pwani,6,4,Mkuranga,Magawa,200,True,GeoData Consultants Ltd,VWC,,False,2007,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
32619,9195,0.0,2004-03-01,Caltus,1856,Cultus,31.53976117,-7.98310578,Kwa Pambajila,0,Lake Tanganyika,Magomeni,Rukwa,15,4,Sumbawanga Urban,Kasense,900,True,GeoData Consultants Ltd,VWC,Mradi wa maji wa kasen,True,2005,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
39559,15921,0.0,2004-03-06,Tasafu,301,DWE,38.55842077,-5.14040537,Shuleni,0,Pangani,Kiwanjani,Tanga,4,2,Korogwe,Kwagunda,713,True,GeoData Consultants Ltd,VWC,,False,2009,other,other,other,vwc,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
52271,2934,0.0,2004-04-01,Government Of Tanzania,1793,DWE,38.19378325,-4.6520433,Kwa Mzee Abibu,0,Pangani,Manka A,Tanga,4,1,Lushoto,Shume,1,True,GeoData Consultants Ltd,VWC,Mlomboza forest,True,1967,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
8736,19591,0.0,2004-04-05,Government Of Tanzania,0,Central Government,33.65766556,-8.99052593,Kwa Ali Majani,0,Lake Nyasa,Isolola B,Mbeya,12,2,Mbeya Rural,Tembela,0,True,GeoData Consultants Ltd,VWC,,False,0,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,non functional
8729,20198,0.0,2004-05-01,Government Of Tanzania,86,DWE,38.95977599,-5.24727813,Kwa Bi Shoga,0,Pangani,Mapojoni Kati,Tanga,4,4,Muheza,Ngomeni,120,True,GeoData Consultants Ltd,VWC,Borehole,True,2008,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty abandoned,salty,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
58663,54360,0.0,2004-05-01,Hesawa,0,HESAWA,33.1715869,-2.69287675,Ilungu,0,Lake Victoria,Ilungu,Mwanza,19,7,Missungwi,Koromije,0,,GeoData Consultants Ltd,VWC,,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
13366,48759,100.0,2004-06-01,Mgaya,1331,Mgaya,34.29088522,-1.69960891,Maro Mgaya,0,Lake Victoria,Kibaoni,Mara,20,2,Serengeti,Kenyamonta,80,,GeoData Consultants Ltd,Other,,True,2011,other - rope pump,rope pump,rope pump,other,other,pay per bucket,per bucket,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
28490,47991,0.0,2004-07-01,,0,,33.82951058,-9.31616182,Kibonde,0,Lake Nyasa,Kibonde,Mbeya,12,4,Rungwe,Lupata,0,True,GeoData Consultants Ltd,VWC,K,,0,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
3446,53174,0.0,2004-08-01,Hesawa,1362,HESAWA,34.51628188,-1.73220091,Musati Primary School Dp No.7,0,Lake Victoria,Muchuri,Mara,20,2,Serengeti,Kebanchabancha,500,,GeoData Consultants Ltd,WUG,Hesawa,True,1996,gravity,gravity,gravity,wug,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,non functional
762,3995,0.0,2004-08-01,Dhv Moro,277,DWE,36.51608838,-8.09719899,Hospital,0,Rufiji,Msumbiji A,Morogoro,5,3,Kilombero,Idete,600,True,GeoData Consultants Ltd,,,True,1997,swn 80,swn 80,handpump,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
55669,28696,0.0,2004-09-01,District Council,-17,DWE,38.79985931,-5.95947609,Kisima Cha Maji Ya Chumvi,0,Wami / Ruvu,Kitopeni,Tanga,4,5,Pangani,Mkwaja,172,True,GeoData Consultants Ltd,VWC,,False,0,other,other,other,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,other,other,non functional
47000,44753,0.0,2004-09-01,Unicef,0,UNICEF,30.52976676,-2.86319222,Migina,0,Lake Victoria,Nyangeleke,Kagera,18,30,Ngara,Bugarama,0,True,GeoData Consultants Ltd,VWC,,False,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
48555,1251,0.0,2004-12-01,African 2000 Network,284,Karugendo,38.92921183,-7.11134858,Kauzeni Primary School 2,0,Wami / Ruvu,Kauzeni Chini,Pwani,60,33,Kisarawe,Kibuta,185,True,GeoData Consultants Ltd,Private operator,,False,2008,gravity,gravity,gravity,private operator,commercial,never pay,never pay,soft,good,enough,enough,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional
57291,59286,0.0,2004-12-01,Government Of Tanzania,1181,RWE,32.88814765,-1.93667567,Kwamtori,0,Lake Victoria,Muruherere,Mwanza,19,1,Ukerewe,Ilangala,200,,GeoData Consultants Ltd,VWC,Gallu Water Supply,True,1969,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,lake,river/lake,surface,communal standpipe multiple,communal standpipe,non functional
10441,55069,20.0,2004-12-01,Plan Int,307,DDCA,38.76865611,-7.29841916,Mianzi Primary School,0,Rufiji,Momboni,Pwani,60,33,Kisarawe,Msanga,1,True,GeoData Consultants Ltd,VWC,,False,2006,india mark iii,india mark iii,handpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,hand pump,hand pump,non functional
16468,35238,0.0,2004-12-01,Tcrs,0,TCRS,33.80656039,-3.83057753,Kwa Daudi,0,Internal,Mwamanota,Shinyanga,17,8,Kishapu,Ngofila,0,True,GeoData Consultants Ltd,VWC,Mwamanota water piped scheme,True,0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional
15103,35841,0.0,2004-12-01,Government Of Tanzania,0,RWE,31.75708883,-1.04437165,Kwantanda,0,Lake Victoria,Rwagati,Kagera,18,7,Misenyi,Kanyigo,0,True,GeoData Consultants Ltd,VWC,Kan,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
22754,51853,0.0,2004-12-01,Hesawa,1167,DWE,32.88165065,-1.93542965,Nyamarasi,0,Lake Victoria,Nyamarasi,Mwanza,19,1,Ukerewe,Ilangala,400,,GeoData Consultants Ltd,,,True,1993,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,non functional
18730,41424,0.0,2004-12-01,He,0,HE,31.62529791,-1.69276482,Nyashanga,0,Lake Victoria,Bujenjeki,Kagera,18,3,Muleba,Ijumbi,0,True,GeoData Consultants Ltd,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,improved spring,improved spring,functional
14697,42443,0.0,2004-12-01,H,0,H,32.96779236,-2.39895594,Kwa Amosi,0,Lake Victoria,1,Mwanza,19,8,Ilemela,Bugogwe,0,False,GeoData Consultants Ltd,VWC,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,other,other,non functional
30319,6176,0.0,2004-12-01,Rwssp,0,DWE,32.35529256,-3.33798204,Kwa Manuel Joseph,0,Lake Tanganyika,Ndalilo B,Shinyanga,17,3,Kahama,Lunguya,0,True,GeoData Consultants Ltd,,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,milky,milky,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,functional
48150,14354,0.0,2004-12-01,Government Of Tanzania,0,RWE,31.75537097,-1.05485438,Ofisini,0,Lake Victoria,Rwagati,Kagera,18,7,Misenyi,Kanyigo,0,True,GeoData Consultants Ltd,VWC,Kan,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,non functional
1189,20122,0.0,2004-12-01,Cct,777,Regional Water,39.13008717,-10.57238528,Kwa Mzee Mkata,0,Ruvuma / Southern Coast,Mdenga Na Madi,Mtwara,90,33,Newala,Chilangala,280,True,GeoData Consultants Ltd,VWC,Mbwinji/MWS,False,1978,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,non functional
32775,58476,0.0,2004-12-01,,1159,,33.11515274,-2.1378934,Swike,0,Lake Victoria,Kati,Mwanza,19,1,Ukerewe,Ngoma,1,True,GeoData Consultants Ltd,,,True,0,other,other,other,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,other,other,functional needs repair
50564,33770,0.0,2004-12-01,Fw,378,FW,38.62836491,-10.76393655,Mnazimmoja,0,Ruvuma / Southern Coast,Mnazimmoja,Mtwara,90,33,Masasi,Namajani,1,True,GeoData Consultants Ltd,VWC,,True,1985,other,other,other,vwc,user-group,unknown,unknown,salty,salty,dry,dry,shallow well,shallow well,groundwater,other,other,non functional
26086,39905,0.0,2004-12-01,Wsdp,0,DWE,33.42344764,-3.5521716,Kwa Mzee Mponeja,0,Internal,Ihapa,Shinyanga,17,7,Shinyanga Urban,Chibe,0,,GeoData Consultants Ltd,WUG,,False,0,afridev,afridev,handpump,wug,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional
1015,20011,500.0,2011-01-03,Tz Japan,1667,DWE,34.90973851,-8.96651368,Kwa Jimi Kinyamagoa,0,Rufiji,Igongolo Kati,Iringa,11,4,Njombe,Igongolo,80,True,GeoData Consultants Ltd,VWC,Igongolo gravity water sche,False,2006,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional
8352,63878,0.0,2011-01-03,Shipo,1664,SHIPO,34.91147795,-8.96647973,Kwa Elioti Mtelesi,0,Rufiji,Lgongolo Kati,Iringa,11,4,Njombe,Igongolo,80,True,GeoData Consultants Ltd,VWC,,False,2006,other - rope pump,rope pump,rope pump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump,functional
